Code,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395
0111,0.014144,0.014143,0.013487,0.013026,0.015827,0.013851,0.014041,0.013565,0.006925,0.008225,0.009287,0.009304
0112,0.008601,0.008198,0.009583,0.011724,0.008582,0.009553,0.009943,0.009301,0.013226,0.013301,0.011837,0.010904
1100,0.000717,0.000812,0.000927,0.000923,0.001035,0.000957,0.000997,0.000953,0.001246,0.001227,0.001211,0.001194
1130,0.000015,0.000000,0.000014,0.000000,0.000000,0.000000,0.000000,0.000002,0.000003,0.000000,0.000000,0.000000
1141,0.000003,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000
1142,0.000066,0.000046,0.000043,0.000056,0.000039,0.000030,0.000044,0.000028,0.000024,0.000075,0.000148,0.000086
1143,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000005,0.000000,0.000022,0.000000,0.000007
1410,0.008096,0.007974,0.008007,0.006980,0.006807,0.007233,0.005816,0.005509,0.007340,0.006963,0.006950,0.006001
1421,0.000247,0.000363,0.000380,0.000293,0.000175,0.000132,0.000166,0.000141,0.000198,0.000313,0.000162,0.000135
1422,0.001881,0.001489,0.001799,0.001052,0.001526,0.001013,0.001586,0.000760,0.001442,0.000996,0.001097,0.001195
1423,0.002817,0.002982,0.003140,0.002595,0.002649,0.002817,0.003238,0.003463,0.004179,0.004034,0.004175,0.003728
1424,0.002541,0.001724,0.001618,0.001234,0.001124,0.001020,0.001110,0.001488,0.001599,0.001377,0.001162,0.001590
1425,0.000746,0.000812,0.000896,0.000714,0.000879,0.001130,0.000629,0.000566,0.000901,0.000918,0.001197,0.000891
1426,0.001354,0.001263,0.001118,0.001312,0.000716,0.000648,0.000903,0.001229,0.001048,0.000966,0.000938,0.000652
1427,0.003903,0.004023,0.003398,0.003264,0.003856,0.002849,0.003348,0.003895,0.003172,0.003020,0.003415,0.003124
1428,0.000102,0.000139,0.000102,0.000197,0.000127,0.000124,0.000206,0.000175,0.000138,0.000243,0.000213,0.000125
1429,0.008380,0.007575,0.006683,0.005652,0.005426,0.006155,0.007478,0.008162,0.007629,0.008720,0.009420,0.010436
2111,0.000066,0.000081,0.000019,0.000056,0.000054,0.000207,0.000017,0.000085,0.000010,0.000056,0.000020,0.000020
2112,0.000029,0.000006,0.000037,0.000039,0.000048,0.000027,0.000060,0.000111,0.000043,0.000001,0.000042,0.000032
2113,0.000098,0.000098,0.000016,0.000000,0.000023,0.000228,0.000054,0.000028,0.000057,0.000052,0.000076,0.000095
2114,0.000290,0.000219,0.000164,0.000264,0.000095,0.000833,0.000269,0.000234,0.000265,0.000229,0.000140,0.000192
2121,0.000331,0.000301,0.000256,0.000270,0.000162,0.000134,0.000917,0.000195,0.000290,0.000378,0.000351,0.000497
2122,0.000197,0.000094,0.000117,0.000162,0.000082,0.000165,0.000085,0.000257,0.000148,0.000213,0.000183,0.000193
2131,0.000786,0.000405,0.000636,0.000946,0.000281,0.000761,0.001688,0.000967,0.001370,0.001647,0.002188,0.002344
2132,0.000528,0.000309,0.000376,0.000513,0.000528,0.000580,0.000256,0.000434,0.000381,0.000538,0.001069,0.001047
