Code,1384,1385,1386
0111,12.020823,9.838732,9.429857
0112,1.468697,1.083535,1.0364
0113,2.513337,2.582472,2.531206
0123,0.100028,0.064152,0.118832
0124,6.644408,6.498053,6.262775
0125,0.006679,0.003453,0.007658
0126,0.256041,0.265407,0.241056
0127,0.045428,0.04964,0.034207
0128,0.006388,0.052607,0.006349
0129,0.00913,0.014191,0.010384
0130,0.678306,1.356261,1.742423
0140,0.545414,0.856574,0.916751
0150,0.001211,0.00264,0.000646
0201,0.09746,0.100808,0.087512
0202,0.003293,0.001209,0.000956
0203,0.008794,0.002409,0.004004
0501,0.031567,0.029419,0.028047
0502,0.3025,0.365686,0.347023
1010,0.050347,0.038982,0.043157
1030,0.002129,,0.000517
1110,0.295756,0.339695,0.281394
1120,0.028437,0.031071,0.036304
1200,0.001098,,0.000618
1310,0.055946,0.053348,0.048636
1320,0.064382,0.094918,0.093999
1410,0.109149,0.093513,0.086606
1421,0.004307,0.003182,0.002496
1422,0.001457,0.002948,0.004361
1429,0.004542,0.010796,0.00956
1512,0.024078,0.014712,0.014296
1514,0.050064,0.055878,0.059802
1515,0.113629,0.113728,0.113007
1516,0.030156,0.024424,0.034064
1517,0.00951,0.014669,0.016403
1518,0.016631,0.025589,0.025869
1519,0.113437,0.135488,0.188048
1520,0.171527,0.215254,0.221478
1531,0.088996,0.096575,0.099286
1532,0.004398,0.003255,0.00172
1533,0.020082,0.015527,0.023039
1542,0.084532,0.0923,0.082368
1543,0.04914,0.053078,0.064972
1544,0.026087,0.01863,0.023804
1545,0.821879,0.822036,0.80692
1546,0.47036,0.423308,0.452154
1547,0.019744,0.024306,0.020309
1548,0.124416,0.153961,0.154138
1551,0.000757,0.000652,0.000587
1553,0.001121,0.002519,
1555,0.048157,0.05412,0.053221
1556,0.013844,0.014978,0.01898
1600,0.049266,0.034342,0.037688
1711,0.527891,0.439707,0.40768
1712,0.03279,0.034585,0.030592
1721,0.20326,0.168091,0.195305
1723,0.005259,0.004748,0.001717
1724,3.493399,3.572938,3.043406
1725,0.104376,0.093515,0.079847
1726,0.081104,0.065131,0.064725
1729,0.459333,0.652196,0.460129
