Code,1396,1397,1398,1399,1400,1401
0410,0.008621,0.008934,0.008981,0.009038,0.011384,0.000000
0510,0.014294,0.011437,0.010891,0.011270,0.011724,0.000000
1114,0.000087,0.000114,0.000080,0.000090,0.000194,0.000103
1115,0.002318,0.002909,0.002398,0.002245,0.002306,0.002385
1120,0.004635,0.004589,0.004018,0.003950,0.004289,0.003775
1212,0.000407,0.000263,0.000376,0.000338,0.000244,0.000276
1214,0.001546,0.001119,0.001054,0.001254,0.000984,0.000785
1215,0.000184,0.000233,0.000345,0.000225,0.000155,0.000162
1219,0.000133,0.000248,0.000189,0.000309,0.000367,0.000180
1221,0.001472,0.001827,0.001717,0.000886,0.001113,0.001242
1222,0.000097,0.000205,0.000140,0.000253,0.000126,0.000040
1223,0.000061,0.000097,0.000050,0.000104,0.000117,0.000068
1311,0.000249,0.000292,0.000250,0.000221,0.000323,0.000374
1312,0.000011,0.000032,0.000005,0.000010,0.000004,0.000024
1321,0.002336,0.002204,0.002313,0.002602,0.002560,0.002510
1322,0.000053,0.000047,0.000061,0.000119,0.000048,0.000099
1323,0.002948,0.002946,0.003631,0.003844,0.003769,0.003573
1324,0.000843,0.001138,0.001030,0.000902,0.000753,0.000757
1330,0.000390,0.000275,0.000540,0.000530,0.000340,0.000354
1341,0.000135,0.000119,0.000086,0.000122,0.000152,0.000024
1342,0.000487,0.000515,0.000443,0.000567,0.000462,0.000301
1343,0.000000,0.000010,0.000026,0.000000,0.000020,0.000000
1344,0.000051,0.000105,0.000087,0.000119,0.000102,0.000091
1345,0.006438,0.006646,0.006350,0.006484,0.006735,0.005863
1346,0.001526,0.001689,0.001700,0.001857,0.001530,0.001309
1349,0.000433,0.000602,0.000494,0.000611,0.000461,0.000683
1411,0.000479,0.000256,0.000317,0.000233,0.000192,0.000185
1412,0.000907,0.001175,0.001358,0.000763,0.000710,0.001141
1420,0.000622,0.000868,0.000755,0.000378,0.000430,0.000736
1431,0.000523,0.000579,0.000704,0.000534,0.000576,0.000612
1439,0.000322,0.000797,0.000822,0.000644,0.000628,0.000701
2111,0.000011,0.000016,0.000018,0.000043,0.000074,0.000002
2112,0.000075,0.000027,0.000065,0.000026,0.000031,0.000071
2113,0.000039,0.000060,0.000042,0.000122,0.000157,0.000089
2114,0.000323,0.000303,0.000296,0.000423,0.000444,0.000317
2120,0.000486,0.000469,0.000489,0.000598,0.000691,0.000724
2131,0.000724,0.001344,0.001051,0.001303,0.001175,0.001181
2132,0.001187,0.001250,0.001075,0.000951,0.001186,0.001346
2134,0.000077,0.000124,0.000181,0.000101,0.000123,0.000109
2141,0.000907,0.001317,0.001534,0.000938,0.001598,0.001460
2142,0.004670,0.004814,0.004252,0.004379,0.004136,0.005209
2144,0.001219,0.001492,0.001185,0.001210,0.001198,0.001015
2145,0.000561,0.000796,0.000664,0.001031,0.000886,0.000902
2146,0.000428,0.000305,0.000397,0.000372,0.000336,0.000262
2149,0.000268,0.000276,0.000300,0.000226,0.000306,0.000467
2151,0.001453,0.001943,0.001202,0.001393,0.001541,0.001872
2152,0.000480,0.000568,0.000411,0.000471,0.000376,0.000507
2153,0.000623,0.000395,0.000325,0.000405,0.000186,0.000172
2161,0.000931,0.000923,0.000793,0.000897,0.001170,0.001123
2162,0.000241,0.000167,0.000235,0.000398,0.000176,0.000104
2163,0.000503,0.000312,0.000516,0.000414,0.000179,0.000434
2164,0.000264,0.000403,0.000339,0.000271,0.000354,0.000231
2165,0.000787,0.000689,0.000778,0.000742,0.001010,0.000696
2166,0.000819,0.000804,0.000887,0.000908,0.001067,0.000949
2211,0.001151,0.001337,0.001521,0.001548,0.001279,0.001290
2212,0.000980,0.001410,0.001186,0.001156,0.000892,0.001274
2221,0.005317,0.005393,0.005841,0.006120,0.006013,0.006348
2222,0.001042,0.001238,0.001310,0.001250,0.001191,0.001189
2230,0.000293,0.000111,0.000092,0.000053,0.000160,0.000027
2240,0.000023,0.000035,0.000009,0.000009,0.000025,0.000031
2250,0.000289,0.000399,0.000379,0.000309,0.000483,0.000346
2261,0.000410,0.000690,0.000511,0.000498,0.000632,0.000798
2262,0.000804,0.001121,0.000934,0.000678,0.000534,0.000858
2263,0.000129,0.000206,0.000219,0.000203,0.000253,0.000231
2264,0.000089,0.000260,0.000111,0.000142,0.000152,0.000168
2265,0.000142,0.000087,0.000071,0.000079,0.000090,0.000109
2266,0.000029,0.000166,0.000049,0.000033,0.000079,0.000065
2267,0.000019,0.000011,0.000012,0.000006,0.000029,0.000090
2269,0.000056,0.000149,0.000168,0.000188,0.000105,0.000140
2310,0.004385,0.005408,0.005115,0.004473,0.004327,0.003991
2320,0.001269,0.001188,0.001127,0.000919,0.001088,0.000907
2330,0.014213,0.013944,0.012983,0.013207,0.013722,0.014545
2341,0.014047,0.013891,0.013672,0.014027,0.013214,0.014410
2342,0.002250,0.002265,0.002591,0.001306,0.001202,0.001534
2351,0.001379,0.001096,0.001175,0.001284,0.001179,0.001288
2352,0.000207,0.000229,0.000255,0.000219,0.000163,0.000205
2353,0.001469,0.002129,0.001782,0.001455,0.001411,0.001983
2356,0.000105,0.000192,0.000139,0.000166,0.000023,0.000034
2357,0.000522,0.000722,0.000607,0.000495,0.000552,0.000465
2359,0.001073,0.001526,0.001558,0.001174,0.001235,0.001416
2411,0.010500,0.011122,0.011725,0.010824,0.011416,0.013159
2414,0.000233,0.000277,0.000382,0.000281,0.000232,0.000226
2421,0.004983,0.006158,0.009950,0.011546,0.013446,0.015101
2422,0.000067,0.000073,0.000105,0.000082,0.000043,0.000019
2423,0.000429,0.000408,0.000349,0.000280,0.000218,0.000363
2424,0.000121,0.000078,0.000069,0.000154,0.000123,0.000084
2431,0.000633,0.001127,0.000695,0.001282,0.001349,0.001504
2432,0.000532,0.000521,0.000568,0.000660,0.000513,0.000645
2433,0.000020,0.000050,0.000073,0.000131,0.000025,0.000038
2434,0.000008,0.000017,0.000057,0.000001,0.000017,0.000086
2511,0.000438,0.000569,0.000877,0.000660,0.001079,0.000494
2512,0.001381,0.001150,0.001273,0.001619,0.001644,0.001795
2513,0.000113,0.000117,0.000148,0.000284,0.000219,0.000229
2514,0.000160,0.000040,0.000032,0.000091,0.000072,0.000056
2519,0.000194,0.000178,0.000114,0.000209,0.000152,0.000423
2521,0.000000,0.000009,0.000002,0.000031,0.000000,0.000032
2522,0.000157,0.000101,0.000250,0.000174,0.000093,0.000164
2523,0.000216,0.000277,0.000260,0.000274,0.000172,0.000141
2529,0.000133,0.000146,0.000036,0.000052,0.000082,0.000068
2611,0.001699,0.002328,0.002550,0.002226,0.002455,0.002327
2612,0.000578,0.000308,0.000321,0.000465,0.000422,0.000279
2619,0.001855,0.003061,0.002935,0.002904,0.002694,0.003320
2621,0.000016,0.000021,0.000014,0.000039,0.000011,0.000029
2622,0.000377,0.000481,0.000472,0.000339,0.000304,0.000450
2631,0.000452,0.000526,0.000808,0.000612,0.000433,0.000347
2632,0.000009,0.000071,0.000130,0.000168,0.000134,0.000043
2633,0.000055,0.000140,0.000029,0.000077,0.000054,0.000027
2634,0.000553,0.000415,0.000538,0.000759,0.000837,0.000757
2635,0.001097,0.001168,0.001286,0.001383,0.000934,0.000939
2637,0.001629,0.001359,0.001578,0.001410,0.001377,0.001451
2638,0.000014,0.000008,0.000019,0.000003,0.000000,0.000008
2639,0.000289,0.000494,0.000347,0.000589,0.000518,0.000420
2641,0.000594,0.000226,0.000281,0.000253,0.000223,0.000254
2642,0.000626,0.000409,0.000471,0.000664,0.000576,0.000470
2643,0.000176,0.000406,0.000424,0.000408,0.000343,0.000407
2651,0.000563,0.000790,0.000493,0.000608,0.000499,0.000479
2652,0.000472,0.000379,0.000359,0.000255,0.000254,0.000391
2653,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
2654,0.000268,0.000196,0.000223,0.000339,0.000468,0.000447
2655,0.000077,0.000208,0.000095,0.000070,0.000079,0.000049
2656,0.000020,0.000127,0.000111,0.000068,0.000153,0.000102
